mesurement id;Destination;avg(avg RTT) from LISP-Lab;avg(avg RTT) from mPlane;avg(avg RTT) from FranceIX;avg(avg RTT) from rmd;variance from LISP-Lab;variance from mPlane;variance from FranceIX;variance from rmd
2841000;31.13.76.102;161.01;147.61;131.16;158.42;27.71;8.32;8.54;2.41
2841002;74.125.136.190;35.31;18.33;13.65;16.79;13.24;2.46;0.13;0.37
2841004;180.149.132.47;258.39;419.09;304.15;252.14;63.04;24.99;26.57;22.79
2841006;98.139.183.24;145.08;89.69;121.26;100.77;49.6;4.46;41.5;22.35
2841010;91.198.174.192;30.22;18.35;12.88;21.17;6.59;3.45;0.31;0.4
2841012;125.39.240.113;356.1;352.87;399.8;422.33;28.64;36.53;48.72;27.58
2841014;199.16.156.198;101.93;95.05;90.61;109.08;25.13;2.95;0.05;2.32
2841016;110.75.115.70;388.44;422.81;366.76;313.45;68.45;108.97;64.85;80.63
2841022;199.101.163.129;168.97;156.56;167.42;161.8;29.24;3.4;0.13;3.63
2841024;183.79.135.206;285.91;262.52;267.37;282.25;5.69;4.97;0.1;7.89
2841026;114.134.80.162;264.41;265.45;262.59;307.48;44.99;5.88;5.54;6.09
2841030;5.255.255.55;62.97;62.45;57.86;62.6;11.13;2.86;0.54;3.47
2841032;180.149.131.31;318.74;358.05;311.27;212.9;44.61;46.52;34.97;23.44
2841034;87.240.131.120;59.0;54.56;57.4;53.71;10.42;3.08;0.13;5.12
2841036;204.79.197.200;32.94;5.37;10.31;2.47;6.49;3.67;0.94;0.24
2841040;199.16.156.11;103.59;96.36;92.47;109.53;17.66;4.08;0.09;0.84
2841046;23.235.37.84;27.92;10.64;9.88;10.26;6.93;2.76;0.18;1.29
2841048;198.11.132.43;165.36;162.43;149.68;157.05;40.36;3.37;0.1;0.45
2841050;66.235.120.127;94.78;81.71;86.71;82.75;16.42;3.0;7.72;0.96
2841052;110.75.114.89;339.67;477.6;410.82;314.87;83.11;94.22;25.17;80.68
2841054;74.125.136.191;32.21;20.06;13.69;16.6;6.66;2.97;0.15;0.49
2841056;192.0.78.17;28.42;14.07;10.46;13.11;8.75;2.96;0.46;0.39
2841058;198.41.209.143;21.32;12.52;9.97;10.02;7.08;2.64;0.16;2.19
2841064;78.140.191.90;32.16;21.23;14.34;18.12;9.28;3.44;0.13;4.74
2841066;94.100.180.200;71.9;62.32;56.6;62.49;8.8;3.59;4.22;1.67
2841068;66.6.41.30;135.72;86.97;109.06;83.67;66.33;3.67;40.59;3.87
2841070;123.125.116.19;248.21;339.9;400.19;386.84;42.97;5.26;40.93;16.15
2841075;185.31.18.193;29.01;10.65;10.1;9.66;5.7;2.62;0.09;0.53
2841077;141.0.174.44;35.15;15.35;11.36;16.76;15.48;3.55;2.77;4.76
2841085;54.149.140.74;182.47;153.54;169.92;176.3;33.04;2.5;0.38;4.89
2841089;106.120.167.66;329.26;401.92;377.96;242.38;61.65;40.59;30.16;40.3
2841091;198.11.132.23;168.61;161.45;153.56;157.44;41.19;3.02;0.09;1.45
2841093;199.181.131.249;159.05;139.95;152.44;144.63;6.71;2.84;0.19;0.16
2841095;198.252.206.16;86.43;89.02;73.0;78.37;16.3;2.18;0.08;4.89
2841097;217.20.147.94;75.12;58.2;52.99;74.45;6.44;3.01;0.09;26.75
2841099;208.82.238.129;167.9;158.47;150.88;154.49;4.07;3.26;2.6;3.57
